epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,14601,1.34641,1.31825,0.01068,0.25104,0.47532,0.29791,0.16695,1.66118,3.07882,0.01691,0.0093862,0.0093862,0.0093862
64,14833.4,1.39914,1.32165,0.01098,0.22437,0.4964,0.2805,0.15468,1.5078,2.97166,0.01486,0.0093763,0.0093763,0.0093763
65,15066.4,1.37494,1.37875,0.0102,0.18283,0.37788,0.21329,0.12602,1.5526,3.74584,0.01555,0.0093664,0.0093664,0.0093664
66,15288.7,1.42901,1.33065,0.01111,0.27955,0.55974,0.33768,0.20349,1.50777,2.69334,0.01545,0.0093565,0.0093565,0.0093565
67,15512.2,1.3872,1.31896,0.01126,0.21326,0.41493,0.25084,0.14933,1.5018,2.54731,0.01485,0.0093466,0.0093466,0.0093466
68,15746.5,1.37486,1.30802,0.01042,0.20295,0.43173,0.23223,0.12248,1.74471,5.34659,0.01793,0.0093367,0.0093367,0.0093367
69,15988.6,1.43595,1.40875,0.01201,0.20858,0.50976,0.25973,0.12655,1.6809,2.91241,0.01718,0.0093268,0.0093268,0.0093268
70,16208.6,1.36656,1.27115,0.01102,0.26673,0.49221,0.27108,0.14423,1.57815,3.12363,0.01612,0.0093169,0.0093169,0.0093169
71,16434.6,1.41486,1.27875,0.01086,0.36705,0.47848,0.39352,0.22833,1.45119,2.6195,0.0143,0.009307,0.009307,0.009307
72,16673,1.37515,1.33152,0.01098,0.17818,0.46519,0.19083,0.10676,1.63119,3.93844,0.01658,0.0092971,0.0092971,0.0092971
73,16913.7,1.40539,1.30334,0.01106,0.31955,0.50758,0.37964,0.22614,1.44324,2.22836,0.0144,0.0092872,0.0092872,0.0092872
74,17138.4,1.35413,1.2677,0.01061,0.32093,0.57633,0.38003,0.23165,1.46587,1.87607,0.01511,0.0092773,0.0092773,0.0092773
75,17375.7,1.33427,1.1648,0.01047,0.40296,0.34144,0.29744,0.18193,1.48657,2.15719,0.01541,0.0092674,0.0092674,0.0092674
76,17616.3,1.3244,1.21441,0.00948,0.36331,0.42478,0.29112,0.18161,1.41306,2.35486,0.01396,0.0092575,0.0092575,0.0092575
77,17845.5,1.32917,1.22858,0.01052,0.33741,0.59183,0.39371,0.24861,1.38039,1.71492,0.01404,0.0092476,0.0092476,0.0092476
78,18076,1.34153,1.23097,0.01069,0.30761,0.62581,0.35893,0.19982,1.55986,1.87376,0.01709,0.0092377,0.0092377,0.0092377
79,18317.1,1.36811,1.29255,0.01028,0.23172,0.49924,0.24131,0.13603,1.4797,2.46877,0.01549,0.0092278,0.0092278,0.0092278
